subject,sessionIndex,rep,hold_mean,hold_std,hold_min,hold_max,flight_mean,flight_std,flight_min,flight_max,total_duration,backspaces
s002,1,1,0.11578181818181817,0.021481781633485623,0.0742,0.1491,0.42045000000000005,0.46683016665592636,0.0135,1.4909,5.4781,0
s002,1,2,0.10010000000000002,0.027808076001569954,0.0689,0.157,0.33136,0.3444018530728312,0.0449,1.1141,4.4147,0
s002,1,3,0.11110909090909092,0.028437761532718,0.0731,0.1621,0.28249,0.288660334822781,0.056,0.96,4.0471,0
s002,1,4,0.1054,0.022745748853557027,0.0813,0.1457,0.35669,0.38949496389555543,0.0172,1.1651,4.7263,0
s002,1,5,0.0925818181818182,0.024564824007356472,0.043,0.1312,0.30023,0.29883507842955787,0.027,0.8213,4.0207,0
s002,1,6,0.10094545454545455,0.031174883936107158,0.0591,0.1681,0.26846,0.33582579472101304,0.0133,0.9954,3.795,0
s002,1,7,0.09476363636363637,0.01731574547405667,0.0782,0.1318,0.25875,0.34744507839369376,-0.0114,1.115,3.6299,0
s002,1,8,0.09484545454545455,0.02161532973005138,0.0679,0.1373,0.23357999999999998,0.31415641900174507,-0.0282,1.0503,3.3791,0
s002,1,9,0.08942727272727274,0.017378151952646064,0.0634,0.1262,0.22004,0.2790432124241692,0.0141,0.8606,3.1841000000000004,0
s002,1,10,0.10221818181818182,0.02237867565265966,0.0731,0.1463,0.21273999999999998,0.2515152528177963,-0.0301,0.7239,3.2518,0
s002,1,11,0.09646363636363636,0.026591361301516108,0.0692,0.1682,0.22213000000000002,0.2529900474327004,-0.118,0.7311,3.2824,0
s002,1,12,0.09137272727272726,0.02292339380351597,0.0713,0.1465,0.24583000000000005,0.27000100759071255,0.0027,0.8323,3.4634,0
s002,1,13,0.09835454545454544,0.02406405707637859,0.0489,0.1404,0.25339999999999996,0.299944091457058,0.0177,0.9944,3.6159,0
s002,1,14,0.09031818181818183,0.029268593722835346,0.0318,0.1399,0.2947,0.2541138681772406,0.0602,0.855,3.9405,0
s002,1,15,0.10755454545454546,0.022543225696279322,0.0739,0.1434,0.42333,0.46175739745021954,-0.0351,1.2535,5.416399999999999,0
s002,1,16,0.09809090909090909,0.024184986121951947,0.0631,0.1338,0.18835,0.2284064677280396,0.0183,0.7266,2.9625,0
s002,1,17,0.10087272727272728,0.024272958800393905,0.076,0.164,0.21983000000000003,0.2722611432062974,-0.0454,0.7544,3.3079,0
s002,1,18,0.0935818181818182,0.02136781003718266,0.0692,0.131,0.22007999999999997,0.2395631098479063,-0.0565,0.6874,3.2302,0
s002,1,19,0.0917090909090909,0.01605487490653424,0.056,0.1177,0.24465000000000003,0.23388216798208453,-0.0765,0.6966,3.4553000000000003,0
s002,1,20,0.09478181818181818,0.017200677480411167,0.0729,0.1299,0.26657000000000003,0.22037610147200626,0.0689,0.6413,3.7083000000000004,0
s002,1,21,0.0859,0.025692482098147628,0.0246,0.1396,0.20541,0.19437908040733193,0.0228,0.6418,2.999,0
s002,1,22,0.09173636363636364,0.01602681121389874,0.0726,0.1259,0.19285000000000002,0.20500756693351588,0.0114,0.6927,2.9376,0
s002,1,23,0.09095454545454545,0.021145313843040046,0.0679,0.1243,0.22235999999999997,0.2235775355441597,0.0201,0.7732,3.2241,0
s002,1,24,0.09213636363636364,0.020651140084190497,0.0723,0.1307,0.22911,0.22967080550213603,0.0106,0.7835,3.3046,0
s002,1,25,0.09699090909090909,0.0315600280719271,0.0415,0.1584,0.26034999999999997,0.20525705468996674,0.046,0.6495,3.6704,0
s002,1,26,0.09332727272727272,0.018961256714636485,0.0718,0.1322,0.30744999999999995,0.3064625858077948,0.0684,1.079,4.1011,0
s002,1,27,0.09522727272727272,0.026706420437078115,0.0594,0.1526,0.23619999999999997,0.20436817756196782,0.0507,0.623,3.4094999999999995,0
s002,1,28,0.08783636363636364,0.016561800117755793,0.0599,0.119,0.21529999999999996,0.2254999467849161,0.0496,0.7007,3.1191999999999998,0
s002,1,29,0.09678181818181818,0.02440379322906466,0.076,0.161,0.24579999999999996,0.2464640744611677,0.0106,0.8033,3.5225999999999997,0
s002,1,30,0.10063636363636365,0.021273896626757174,0.0742,0.1444,0.17795,0.1787412948929262,0.016,0.5697,2.8865000000000003,0
s002,1,31,0.0891181818181818,0.021108284378923065,0.0578,0.1415,0.21342000000000003,0.19835235718286787,0.0214,0.7415,3.1145,0
s002,1,32,0.09546363636363636,0.021399884142731102,0.0708,0.1325,0.24008,0.2985572568201952,0.0188,1.0167,3.4509,0
s002,1,33,0.08982727272727274,0.019925729867279685,0.0591,0.1225,0.19683,0.1904786657345121,0.0573,0.6663,2.9564000000000004,0
s002,1,34,0.09142727272727273,0.025820291207043516,0.0541,0.1475,0.27347999999999995,0.23758778083058057,0.0397,0.7458,3.7404999999999995,0
s002,1,35,0.09448181818181817,0.0160421500589041,0.0731,0.1235,0.19249999999999998,0.2236170118752149,0.0191,0.8151,2.9642999999999997,0
s002,1,36,0.08722727272727272,0.02000400373148476,0.0607,0.1185,0.25579,0.280742748615169,0.0304,0.8197,3.5174000000000003,0
s002,1,37,0.09344545454545455,0.018593613939706367,0.0628,0.1172,0.25886,0.22048888498062663,0.0716,0.6766,3.6165000000000003,0
s002,1,38,0.09210000000000002,0.019780431101102287,0.0676,0.1307,0.22119,0.27746145840458636,0.041,1.0031,3.225,0
s002,1,39,0.09187272727272729,0.016039501857436553,0.0731,0.1209,0.16929,0.1702690720594906,0.0175,0.6045,2.7035,0
s002,1,40,0.0922,0.021289690206550894,0.0713,0.1388,0.23118000000000002,0.23875268710529732,0.0507,0.8299,3.3260000000000005,0
s002,1,41,0.09372727272727274,0.018950466096886803,0.0715,0.1336,0.17834,0.19541720088057757,0.0099,0.68,2.8144,0
s002,1,42,0.09312727272727273,0.018047769487420724,0.0692,0.133,0.20229999999999998,0.26781018651276134,0.0109,0.9496,3.0473999999999997,0
s002,1,43,0.10173636363636364,0.018346625784758087,0.0776,0.146,0.16818999999999998,0.1539924313075159,0.0107,0.5256,2.8009999999999997,0
